count,Menu-Category,Translation
1,Especial rolls,Special rolls
2,California Rolls,California Rolls
3,California Rolls,California Rolls
4,California Rolls,California Rolls
5,California Rolls,California Rolls
6,Promociones,promotions
7,California Rolls,California Rolls
8,California Rolls,California Rolls
9,California Rolls,California Rolls
10,California Rolls,California Rolls
11,California Rolls,California Rolls
12,California Rolls,California Rolls
13,Extras,extras
14,Ceviche,ceviche
15,Especial rolls,Special rolls
16,Especial rolls,Special rolls
17,Especial rolls,Special rolls
18,Hosomaki,hosomaki
19,Hot Rolls,Hot Rolls
20,Fish and chips,fish and chips
21,Rolls dulces,sweet rolls
22,Extras,extras
23,Especial rolls,Special rolls
24,Acompañamientos,Accompaniments
25,Menús,menus
26,Promociones,promotions
27,Especial rolls,Special rolls
28,Hot Rolls,Hot Rolls
29,Rolls dulces,sweet rolls
30,Gyosas,gyosas
31,Gyosas,gyosas
32,Gyosas,gyosas
33,Gyosas,gyosas
34,Hot Rolls,Hot Rolls
35,Especial rolls,Special rolls
36,Hosomaki,hosomaki
37,Especial rolls,Special rolls
38,Especial rolls,Special rolls
39,Hosomaki,hosomaki
40,Hosomaki,hosomaki
41,Especial rolls,Special rolls
42,Especial rolls,Special rolls
43,Especial rolls,Special rolls
44,Especial rolls,Special rolls
45,Especial rolls,Special rolls
46,Nigiri Sushi,nigiri sushi
47,Nigiri Sushi,nigiri sushi
48,Especial rolls,Special rolls
49,Especial rolls,Special rolls
50,Extras,extras
51,Extras,extras
52,Promociones,promotions
53,Extras,extras
54,Menús,menus
55,Promociones,promotions
56,Rolls dulces,sweet rolls
57,Ceviche,ceviche
58,Hosomaki,hosomaki
59,Especial rolls,Special rolls
60,Hot Rolls,Hot Rolls
61,Extras,extras
62,Extras,extras
63,Extras,extras
64,Sashimi,sashimi
65,Sashimi,sashimi
66,Sashimi,sashimi
67,Especial rolls,Special rolls
68,Especial rolls,Special rolls
69,Menús,menus
70,Promociones,promotions
71,Especial rolls,Special rolls
72,Fish and chips,fish and chips
73,Hosomaki,hosomaki
74,Promociones,promotions
75,Especial rolls,Special rolls
76,Promociones,promotions
77,Promociones,promotions
78,Acompañamientos,Accompaniments
79,Hot Rolls,Hot Rolls
80,Especial rolls,Special rolls
81,Extras,extras
82,Ceviches,ceviches
83,Empanadas,breaded
84,Ensaladas,Salads
85,Gredas,Gredas
86,Platos,dishes
87,Empanadas,breaded
88,Platos,dishes
89,Sándwiches de la casa,sandwiches house
90,Tablas,draw
91,Platos,dishes
92,Sandwich,sandwich
93,Bebidas,beverages
94,Sandwich,sandwich
95,Bebidas,beverages
96,Bebidas,beverages
97,Bebidas,beverages
98,Bebidas,beverages
99,Ensaladas,Salads
100,Ensaladas,Salads
101,Ensaladas,Salads
102,Postres,desserts
103,Ensaladas,Salads
104,Bebidas,beverages
105,Jugos,juices
106,Bebidas,beverages
107,Bebidas,beverages
108,Sandwich,sandwich
109,Sandwich,sandwich
110,Sandwich,sandwich
111,Ensaladas,Salads
112,Bebidas,beverages
113,Bebidas,beverages
114,Sánguches de la casa,sandwiches house
115,Sánguches de la casa,sandwiches house
116,Carnes,meats
117,Bebidas,beverages
118,Bebidas,beverages
119,Bebidas,beverages
120,Mariscos y pescados,Seafood and Fish
121,Mariscos y pescados,Seafood and Fish
122,Mariscos y pescados,Seafood and Fish
123,Sánguches,sandwiches
124,Bebidas,beverages
125,Bebidas,beverages
126,Carnes,meats
127,Mariscos y pescados,Seafood and Fish
128,Sánguches de la casa,sandwiches house
129,Sánguches de la casa,sandwiches house
130,Bebidas,beverages
131,Sánguches,sandwiches
132,Sánguches de la casa,sandwiches house
133,Sánguches,sandwiches
134,Sánguches,sandwiches
135,Carnes,meats
136,Mariscos y pescados,Seafood and Fish
137,Bebidas,beverages
138,Mariscos y pescados,Seafood and Fish
139,Mariscos y pescados,Seafood and Fish
140,Sánguches,sandwiches
141,Sánguches,sandwiches
142,Carnes,meats
143,Sánguches de la casa,sandwiches house
144,Sánguches de la casa,sandwiches house
145,Bebidas,beverages
146,Pescados,Fish
147,Aperitivos,snacks
148,Aperitivos,snacks
149,Arroz,rice
150,Arroz,rice
151,Arroz,rice
152,Arroz,rice
153,Pescados,Fish
154,Camarones,Shrimps
155,Camarones,Shrimps
156,Camarones,Shrimps
157,Camarones,Shrimps
158,Camarones,Shrimps
159,Aperitivos,snacks
160,Camarones,Shrimps
161,Camarones,Shrimps
162,Camarones,Shrimps
163,Camarones,Shrimps
164,Aperitivos,snacks
165,Vacuno,bovine
166,Vacuno,bovine
167,Vacuno,bovine
168,Vacuno,bovine
169,Vacuno,bovine
170,Vacuno,bovine
171,Vacuno,bovine
172,Vacuno,bovine
173,Postres,desserts
174,Cerdos,pigs
175,Cerdos,pigs
176,Cerdos,pigs
177,Cerdos,pigs
178,Cerdos,pigs
179,Cerdos,pigs
180,Chapsui,chapsui
181,Chapsui,chapsui
182,Chapsui,chapsui
183,Chapsui,chapsui
184,Chapsui,chapsui
185,Chapsui,chapsui
186,Chapsui,chapsui
187,Pato,duck
