word,cuisine,subcuisine,subcat
wrap,american,american dish,fast food
wraps,american,american dish,fast food
spaghetti,italian,pasta,main course
caesar salad,western,salad,salad
enchiladas,mexican,fast food,fast food
enchilada,mexican,fast food,fast food
burger,american,american dish,fast food
burgers,american,american dish,fast food
fajita,american,american dish,fast food
fajitas,american,american dish,fast food
onion rings,american,american dish,fast food
confectionary,dessert,chocolate,dessert
nugget,american,american dish,fast food
nuggets,american,american dish,fast food
omelet,american,american dish,fast food
omelette,american,american dish,fast food
buffalo wings,american,american dish,fast food
huachinango,mexican,fish dish,main course
chilaquiles,mexican,main course,main course
arrachera,mexican,steak dish,main course
pozole,colombian,soup,main course
sope,mexican,main course,main course
huarache,mexican,other mexican dish,fast food
lavash,lebanese,lebanese bread,bread
tabaka,georgian,poultry dish,main course
