Count,Original_menu,Oriignal_prod,Menu_Cat_Tran,Prod_Tran,Variant,Masterdish,flag,Cuisine,cuisine_flag,Subcuisine,subcuisine_flag,Subcategory,subcategory_flag,Ingredient
1,Desserts, Crème cramel,desserts,cramel cream,,caramel cream,1,dessert,0,dessert,0,dessert,0,,,
2,Pizzas,A la bonne heure,Pizzas,a good time,,good time pizza,0,italian,0,pizza,0,,,cheddar cheese,onions,hash browns
3,Plats,Chicken curry,dishes,curry chicken,,chicken curry,0,Italian,0,chicken dish,0,main course,1,chicken,coconut milk,curry paste
4,Boissons,Coca-cola,beverages,coca cola,,cocacola,1,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
5,Crêpes sucrées,Crêpe au chocolat,sweet pancakes,chocolate crepe,,crepe,1,dessert,0,colombian dessert,0,dessert,0,,,
6,Crêpes salées,Crêpe au fromage,savory crepes,Pancake with cheese,,pancakes cheese,0,american,0,american dish,0,,,cheese,crepes,ricotta cheese
7,Crêpes salées,Crêpe au fromage et champignons,savory crepes,Pancake with cheese and mushrooms,,pancakes mushrooms and cheese,0,american,0,american dish,0,,,cheese,crepes,mushroom
8,Crêpes salées,Crêpe au fromage et fruits de mer,savory crepes,Pancake with cheese and seafood,,cheese pancakes,1,american,0,american dish,0,,,seafood,cheese,crepes
9,Crêpes salées,Crêpe au fromage et poulet,savory crepes,Pancake with cheese and chicken,,chicken and cheese pancake,0,american,0,american dish,0,,,chicken,cheese,crepes
10,Crêpes salées,Crêpe au fromage et viande hachée,savory crepes,Pancake with cheese and mince,,cheese pancakes,1,american,0,american dish,0,,,cheese,crepes,ricotta cheese
11,Crêpes sucrées,Crêpe au miel,sweet pancakes,pancake with honey,,pancakes honey,0,american,0,american dish,0,,,buttermilk,cinnamon,egg whites
12,Crêpes sucrées,Crêpe chocolat aux fruits,sweet pancakes,Chocolate pancake with fruit, fruit,pancakes chocolate,0,american,0,american dish,0,,,chocolate,fruit,artificial sweetener
13,Crêpes sucrées,Crêpe chocolat banane,sweet pancakes,chocolate banana crepe,,banana chocolate,1,dessert,0,colombian dessert,0,dessert,0,,,
14,Crêpes sucrées,Crêpe chocolat confiture,sweet pancakes,chocolate crepe jam,,crepe,1,dessert,0,colombian dessert,0,dessert,0,,,
15,Entrées froides,Cœur de laitue à la gousse de noix,cold starters,Lettuce heart to the pod nuts,,lettuce heart,0,Italian,0,other Italian dish,1,starter,1,lettuce,carrot,
16,Entrées froides,Cœur de laitue au roquefort,cold starters,heart of lettuce with Roquefort, roquefort,lettuce heart,1,Italian,0,other Italian dish,1,starter,1,lettuce,carrot,
17,Entrées chaudes,Diouls à la viande,hot appetizers,diouls meat,,diouls meat,0,Italian,0,other Italian dish,1,starter,1,meat,celery,ground beef
18,Entrées chaudes,Diouls au poulet,hot appetizers,diouls Chicken,,chicken,1,Italian,0,chicken dish,0,starter,1,chicken,bacon grease,potato
19,Entrées chaudes,Diouls au thon,hot appetizers,diouls tuna,,diouls tuna,0,Italian,0,other Italian dish,1,starter,1,tuna,bread crumbs,coriander
20,Entrées chaudes,Diouls fromage aux herbes,hot appetizers,diouls cheese with herbs, herbs,diols cheese,1,Italian,0,other Italian dish,1,starter,1,cheese,cheddar cheese,mustard
21,Boissons,Eau minérale,beverages,mineral water,,minerale water,0,non-alcoholic beverages,0,other beverages,1,cold beverages,1,,,
22,Plats,Entrecôte grillée,dishes,grilled steak,,steak grilled,0,american,0,steak dish,0,,,steak,italian dressing,sirloin steak
23,Plats,Escalope de dinde en sauce,dishes,sauce turkey escalope,,turkey,1,Italian,0,other Italian dish,1,,,chicken broth,black pepper,turkey
24,Plats,Escalope de dinde grillée,dishes,Grilled turkey escalope,,grilled turkey escalope,0,Italian,0,grilled dish,0,,,,,
25,Plats,Escalope de dinde pannée,dishes,turkey cutlet breaded,,turkey cutlet breaded,0,Italian,0,other Italian dish,1,,,merlot,orange juice concentrate,turkey
26,Plats,Filet en sauce,dishes,net sauce,,net sauce,0,Italian,0,other Italian dish,1,,,green apple,cinnamon,lemon juice
27,Pizzas,Fruiti di mari,Pizzas,fruiti seas,,fruit seas,0,italian,0,pizza,0,,,fruit,blueberry,peach
28,Gaufres,Gaufre à la confiture,waffles,waffles with jam,,jam,1,american,0,american dish,0,,,apple,ginger,lemon juice
29,Gaufres,Gaufre au chocolat,waffles,waffle with chocolate,,chocolate waffle,1,american,0,american dish,0,,,chocolate,cocoa powder,vanilla extract
30,Gaufres,Gaufre au miel,waffles,waffle with honey,,waffle honey,0,american,0,american dish,0,,,orange zest,egg whites,vanilla extract
31,Gaufres,Gaufre au miel et citron,waffles,waffle with honey and lemon,,waffle honey,1,american,0,american dish,0,,,lemon,orange zest,egg whites
